dataset,checkpoint,Base,New,HM
DescribableTextures,ckpt_remodel_trimmed_1.t7,83.3333,64.8551,72.9421
DescribableTextures,ckpt_remodel_trimmed_2.t7,82.1759,62.0773,70.7265
DescribableTextures,ckpt_remodel_trimmed_3.t7,80.5556,63.285,70.8835
DescribableTextures,AVERAGE,82.0216,63.4058,71.5174
