dataset,checkpoint,Base,New,HM
EuroSAT,ckpt_remodel_trimmed_1.t7,93.2619,81.9487,87.2401
EuroSAT,ckpt_remodel_trimmed_2.t7,89.9048,84.2564,86.989
EuroSAT,ckpt_remodel_trimmed_3.t7,88.4762,81.7179,84.9629
EuroSAT,AVERAGE,90.5476,82.641,86.3973
