dataset,checkpoint,Base,New,HM
OxfordPets,ckpt_remodel_trimmed_1.t7,95.9596,97.8188,96.8803
OxfordPets,ckpt_remodel_trimmed_2.t7,96.0659,97.8188,96.9344
OxfordPets,ckpt_remodel_trimmed_3.t7,96.1722,97.5951,96.8784
OxfordPets,AVERAGE,96.0659,97.7442,96.8977
