dataset,checkpoint,Base,New,HM
Food101,ckpt_remodel_trimmed_1.t7,90.9869,92.04,91.5104
Food101,ckpt_remodel_trimmed_2.t7,90.9281,91.9733,91.4477
Food101,ckpt_remodel_trimmed_3.t7,90.8431,92.0133,91.4245
Food101,AVERAGE,90.9194,92.0089,91.4609
